R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
R00262	L-threo-3-methylaspartate carboxy-aminomethylmutase; L-threo-3-Methylaspartate <=> L-Glutamate
R00263	L-Glutamate <=> Poly-gamma-D-glutamate
R00264	2,5-dioxopentanoate:NADP+ 5-oxidoreductase; 2,5-Dioxopentanoate + NADP+ + H2O <=> 2-Oxoglutarate + NADPH + H+
R00265	2-oxoglutarate:NADP+ 2-oxidoreductase (CoA-succinylating); 2-Oxoglutarate + CoA + NADP+ <=> Succinyl-CoA + CO2 + NADPH + H+
R00267	isocitrate:NADP+ oxidoreductase (decarboxylating); Isocitrate + NADP+ <=> 2-Oxoglutarate + CO2 + NADPH + H+
R00268	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming); Oxalosuccinate <=> 2-Oxoglutarate + CO2
R00269	2-oxoglutaramate amidohydrolase; 2-Oxoglutaramate + H2O <=> 2-Oxoglutarate + Ammonia
R00270	2-Oxoglutarate + Ammonia <=> 4-Oxoglutaramate + H2O
R00271	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming); Acetyl-CoA + H2O + 2-Oxoglutarate <=> (R)-2-Hydroxybutane-1,2,4-tricarboxylate + CoA
R00272	2-oxoglutarate carboxy-lyase; 2-Oxoglutarate <=> Succinate semialdehyde + CO2
R00273	oxalate:oxygen oxidoreductase; Oxalate + Oxygen <=> Hydrogen peroxide + 2 CO2
R00274	glutathione:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + 2 Glutathione <=> Glutathione disulfide + 2 H2O
R00275	superoxide:superoxide oxidoreductase; 2 Superoxide + 2 H+ <=> Hydrogen peroxide + Oxygen
R00277	pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating); Pyridoxamine phosphate + H2O + Oxygen <=> Pyridoxal phosphate + Ammonia + Hydrogen peroxide
R00278	pyridoxine 5'-phosphate:oxygen oxidoreductase; Pyridoxine phosphate + Oxygen <=> Hydrogen peroxide + Pyridoxal phosphate
R00279	D-glutamate:oxygen oxidoreductase (deaminating); D-Glutamate + H2O + Oxygen <=> 2-Oxoglutarate + Ammonia + Hydrogen peroxide
R00280	nitric-oxide:acceptor oxidoreductase; Acceptor + 2 Nitric oxide + 2 H2O <=> Reduced acceptor + 2 Nitrite
R00282	NADPH:acceptor oxidoreductase; Acceptor + NADPH + H+ <=> Reduced acceptor + NADP+
R00283	ammonium:acceptor oxidoreductase (ATP-forming); Acceptor + Ammonia + H2O + 2 Orthophosphate + 2 ADP <=> Hydroxylamine + Reduced acceptor + 2 ATP + 2 H2O
R00284	ammonia:acceptor oxidoreductase; Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor
R00286	UDP-glucose:NAD+ 6-oxidoreductase; UDP-glucose + H2O + 2 NAD+ <=> UDP-glucuronate + 2 NADH + 2 H+
R00287	UDP-glucose glucophosphohydrolase; UDP-glucose + H2O <=> UMP + D-Glucose 1-phosphate
R00289	UTP:alpha-D-glucose-1-phosphate uridylyltransferase; UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose
R00291	UDP-glucose 4-epimerase; UDP-alpha-D-glucose 4-epimerase; UDP-glucose <=> UDP-alpha-D-galactose
R00292	UDP-glucose:glycogen 4-alpha-D-glucosyltransferase; UDP-glucose + Amylose <=> UDP + Amylose
R00293	UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming); UDP-glucose <=> UDP-4-dehydro-6-deoxy-D-glucose + H2O
R00294	nitrous-oxide:ferricytochrome-c oxidoreductase; 2 Nitric oxide + 2 Ferrocytochrome c + 2 H+ <=> Nitrous oxide + 2 Ferricytochrome c + H2O
R00295	trithionate,NAD+ oxidoreductase; Trithionate + HO- + NAD+ + 2 H2O <=> 3 HSO3- + NADH + H+
R00297	(R)-2-hydroxy-acid:acceptor 2-oxidoreductase; (R)-Lactate + Acceptor <=> Pyruvate + Reduced acceptor
R00298	(S)-2-hydroxyglutarate:acceptor 2-oxidoreductase; (S)-2-Hydroxyglutarate + Acceptor <=> 2-Oxoglutarate + Reduced acceptor
R00299	ATP:D-glucose 6-phosphotransferase; ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate
R00300	D-glucose:NAD+ 1-oxidoreductase; D-Glucose + NAD+ <=> D-Glucono-1,5-lactone + NADH + H+
R00301	D-glucose:NADP+ 1-oxidoreductase; D-Glucose + NADP+ <=> D-Glucono-1,4-lactone + NADPH + H+
R00302	D-glucose:oxygen 2-oxidoreductase; D-Glucose + Oxygen <=> 2-Dehydro-D-glucose + Hydrogen peroxide
R00303	D-glucose-6-phosphate phosphohydrolase; D-Glucose 6-phosphate + H2O <=> D-Glucose + Orthophosphate
R00304	D-glucose-1-phosphate phosphohydrolase; D-Glucose 1-phosphate + H2O <=> D-Glucose + Orthophosphate
R00305	D-glucose:quinone 1-oxidoreductase; D-Glucose + Quinone <=> D-Glucono-1,5-lactone + Hydroquinone
R00306	cellobiose glucohydrolase; Cellobiose + H2O <=> 2 D-Glucose
R00307	alpha-D-glucose aldose-ketose-isomerase; alpha-D-Glucose <=> alpha-D-Fructofuranose
R00308	1,3-beta-D-glucan glucanohydrolase; 1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan
R00310	protoheme ferro-lyase (protoporphyrin-forming); Protoporphyrin + Fe2+ <=> Heme + 2 H+
R00311	protoheme,NADPH---hemoprotein reductase:oxygen oxidoreductase (alpha-methene-oxidizing, hydroxylating); Heme + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> Biliverdin + CO + Fe2+ + 3 [Oxidized NADPH---hemoprotein reductase] + 3 H2O
R00312	Heme <=> Cytochrome a
R00313	Heme <=> Catalase
R00314	Heme <=> Peroxidase
R00315	ATP:acetate phosphotransferase; ATP + Acetate <=> ADP + Acetyl phosphate
R00316	ATP:acetate adenylyltransferase; ATP + Acetate <=> Diphosphate + Acetyl adenylate
R00317	acetyl phosphate phosphohydrolase; Acetyl phosphate + H2O <=> Acetate + Orthophosphate
R00318	phosphonoacetate phosphonohydrolase; Phosphonoacetate + H2O <=> Acetate + Orthophosphate
R00319	(S)-lactate:oxygen 2-oxidoreductase (decarboxylating); (S)-Lactate + Oxygen <=> Acetate + CO2 + H2O
R00320	diphosphate:acetate phosphotransferase; Diphosphate + Acetate <=> Orthophosphate + Acetyl phosphate
R00321	acetamide amidohydrolase; Acetamide + H2O <=> Acetate + Ammonia
R00322	5'-acetylphosphoadenosine acetylhydrolase; Acetyl adenylate + H2O <=> AMP + Acetate
R00324	2,4-dioxopentanoate acetylhydrolase; acetylpyruvate acetylhydrolase; Acetylpyruvate + H2O <=> Acetate + Pyruvate
R00325	(2S)-2-hydroxy-2-methylbutanedioate pyruvate-lyase (acetate-forming); (3S)-citramalate pyruvate-lyase; (S)-2-Methylmalate <=> Acetate + Pyruvate
R00326	acetaldehyde:acceptor oxidoreductase; Acetaldehyde + Acceptor + H2O <=> Acetate + Reduced acceptor
R00327	6-acetyl-D-glucose acetylhydrolase; 6-Acetyl-D-glucose + H2O <=> D-Glucose + Acetate
R00328	GDP phosphohydrolase; GDP + H2O <=> GMP + Orthophosphate
R00329	nucleoside-diphosphate phosphohydrolase; NDP + H2O <=> Nucleotide + Orthophosphate
R00330	ATP:GDP phosphotransferase; ATP + GDP <=> ADP + GTP
R00331	ATP:nucleoside-diphosphate phosphotransferase; ATP + NDP <=> ADP + Nucleoside triphosphate
R00332	ATP:GMP phosphotransferase; ATP + GMP <=> ADP + GDP
R00333	nucleoside-triphosphate:AMP phosphotransferase; Nucleoside triphosphate + AMP <=> NDP + ADP
R00334	ATP:nucleoside-phosphate phosphotransferase; ATP + Nucleoside phosphate <=> ADP + NDP
R00335	GTP phosphohydrolase; GTP + H2O <=> GDP + Orthophosphate
R00336	guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase; Guanosine 3',5'-bis(diphosphate) + H2O <=> GDP + Diphosphate
R00337	GDP-glucose glucohydrolase; GDP-glucose + H2O <=> GDP + D-Glucose
R00338	oxaloacetate acetylhydrolase; Oxaloacetate + H2O <=> Oxalate + Acetate
R00339	(R,R)-tartrate hydro-lyase (oxaloacetate-forming); (R,R)-Tartaric acid <=> Oxaloacetate + H2O
R00340	(S,S)-tartrate hydro-lyase (oxaloacetate-forming); (S,S)-Tartaric acid <=> Oxaloacetate + H2O
R00341	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming); ATP + Oxaloacetate <=> ADP + Phosphoenolpyruvate + CO2
R00342	(S)-malate:NAD+ oxidoreductase; (S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+
R00343	(S)-malate:NADP+ oxidoreductase; (S)-Malate + NADP+ <=> Oxaloacetate + NADPH + H+
R00344	pyruvate:carbon-dioxide ligase (ADP-forming); ATP + Pyruvate + HCO3- <=> ADP + Orthophosphate + Oxaloacetate
R00345	phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming); Orthophosphate + Oxaloacetate <=> H2O + Phosphoenolpyruvate + CO2
R00346	diphosphate:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming); pyrophosphate:oxaloacetate carboxy-lyase (transphosphorylating); Diphosphate + Oxaloacetate <=> Orthophosphate + Phosphoenolpyruvate + CO2
R00347	erythro-3-hydroxy-Ls-aspartate ammonia-lyase (oxaloacetate-forming); erythro-3-Hydroxy-Ls-aspartate <=> Oxaloacetate + Ammonia
R00348	2-oxosuccinamate amidohydrolase; 2-Oxosuccinamate + H2O <=> Oxaloacetate + Ammonia
R00350	4-carboxy-4-hydroxy-2-oxoadipate oxaloacetate-lyase (pyruvate-forming); 4-Carboxy-4-hydroxy-2-oxoadipate <=> Oxaloacetate + Pyruvate
R00351	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing); Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate
R00352	acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]; ATP + Citrate + CoA <=> ADP + Orthophosphate + Acetyl-CoA + Oxaloacetate
R00353	malonyl-CoA:pyruvate carboxytransferase; Malonyl-CoA + Pyruvate <=> Acetyl-CoA + Oxaloacetate
R00354	(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming); (3S)-Citryl-CoA <=> Acetyl-CoA + Oxaloacetate
R00355	L-aspartate:2-oxoglutarate aminotransferase; L-Aspartate + 2-Oxoglutarate <=> Oxaloacetate + L-Glutamate
R00357	L-aspartic acid:oxygen oxidoreductase (deaminating); L-Aspartate + H2O + Oxygen <=> Oxaloacetate + Ammonia + Hydrogen peroxide
R00359	D-aspartate:oxygen oxidoreductase (deaminating); D-Aspartate + H2O + Oxygen <=> Oxaloacetate + Ammonia + Hydrogen peroxide
R00360	(S)-malate:oxygen oxidoreductase; (S)-Malate + Oxygen <=> Oxaloacetate + Hydrogen peroxide
R00361	(S)-malate:quinone oxidoreductase; (S)-Malate + Quinone <=> Oxaloacetate + Hydroquinone
R00362	citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate); citrate oxaloacetate-lyase ((pro-3S)-CH2COO- -->acetate); Citrate <=> Acetate + Oxaloacetate
R00363	oxaloacetate keto-enol-isomerase; Oxaloacetate <=> 2-Hydroxyethylenedicarboxylate
R00364	glycine:ferricytochrome-c oxidoreductase (deaminating); Glycine + H2O + 2 Ferricytochrome c <=> Glyoxylate + Ammonia + 2 Ferrocytochrome c + 2 H+
R00365	glycine:NAD+ oxidoreductase (deaminating); Glycine + H2O + NAD+ <=> Glyoxylate + Ammonia + NADH + H+
R00366	glycine:oxygen oxidoreductase (deaminating); aminoacetic acid:oxygen oxidoreductase (deaminating); Glycine + H2O + Oxygen <=> Glyoxylate + Ammonia + Hydrogen peroxide
R00367	S-adenosyl-L-methionine:glycine N-methyltransferase; S-Adenosyl-L-methionine + Glycine <=> S-Adenosyl-L-homocysteine + Sarcosine
R00368	N-(carboxymethyl)-D-alanine:NAD+ oxidoreductase (glycine-forming); N-(Carboxymethyl)-D-alanine + NAD+ + H2O <=> Glycine + Pyruvate + NADH + H+
R00369	L-alanine:glyoxylate aminotransferase; L-Alanine + Glyoxylate <=> Pyruvate + Glycine
R00371	acetyl-CoA:glycine C-acetyltransferase; Acetyl-CoA + Glycine <=> CoA + L-2-Amino-3-oxobutanoic acid
R00372	glycine:2-oxoglutarate aminotransferase; Glycine + 2-Oxoglutarate <=> Glyoxylate + L-Glutamate
R00373	glycine:oxaloacetate aminotransferase; Glycine + Oxaloacetate <=> Glyoxylate + L-Aspartate
R00374	glycine:acceptor oxidoreductase (cyanide-forming); Glycine + 2 Acceptor <=> Cyanide ion + CO2 + 2 Reduced acceptor + H+
R00375	deoxyadenosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dATP + DNA <=> Diphosphate + DNA
R00376	deoxyguanosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dGTP + DNA <=> Diphosphate + DNA
R00377	deoxycytidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dCTP + DNA <=> Diphosphate + DNA
R00378	deoxythymidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dTTP + DNA <=> Diphosphate + DNA
R00379	deoxynucleoside triphosphate:DNA deoxynucleotidyltransferase; Deoxynucleoside triphosphate + DNA(n) <=> Diphosphate + DNA(n+1)
R00380	S-adenosyl-L-methionine:DNA (cytosine-5-)-methyltransferase; S-Adenosyl-L-methionine + DNA <=> S-Adenosyl-L-homocysteine + 5-Methylcytosine in DNA
R00381	(deoxyribonucleotide)n:5'-phospho-(deoxyribonucleotide)m ligase (AMP-forming); ATP + DNA(n) + 5'-Phospho-DNA(m) <=> AMP + Diphosphate + DNA(n+m)
R00382	(deoxyribonucleotide)n:5'-phospho-(deoxyribonucleotide)m ligase (AMP-forming, NMN-forming); NAD+ + DNA(n) + 5'-Phospho-DNA(m) <=> AMP + Nicotinamide D-ribonucleotide + DNA(n+m)
R00383	acyl-CoA hydrolase; Acyl-CoA + H2O <=> CoA + Carboxylate
R00384	acyl-CoA:NAD+ trans-2-oxidoreductase; Acyl-CoA + NAD+ <=> trans-2,3-Dehydroacyl-CoA + NADH + H+
R00385	acyl-CoA:NADP+ 2-oxidoreductase; Acyl-CoA + NADP+ <=> 2,3-Dehydroacyl-CoA + NADPH + H+
R00387	acyl-CoA:NADP+ cis-2-oxidoreductase; Acyl-CoA + NADP+ <=> cis-2,3-Dehydroacyl-CoA + NADPH + H+
R00388	acyl-CoA:oxygen 2-oxidoreductase; Acyl-CoA + Oxygen <=> trans-2,3-Dehydroacyl-CoA + Hydrogen peroxide
R00389	medium-chain-fatty-acid:CoA ligase (AMP-forming); ATP + Medium-chain fatty acid + CoA <=> AMP + Diphosphate + Medium-chain acyl-CoA
R00390	long-chain-fatty-acid:CoA ligase (AMP-forming); ATP + Long-chain fatty acid + CoA <=> AMP + Diphosphate + Long-chain acyl-CoA
R00391	acyl-CoA:acetyl-CoA C-acyltransferase; Acyl-CoA + Acetyl-CoA <=> CoA + 3-Oxoacyl-CoA
R00392	acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase; Acyl-CoA + Electron-transferring flavoprotein <=> 2,3-Dehydroacyl-CoA + Reduced electron-transferring flavoprotein
R00393	acyl-CoA:acetate CoA-transferase; Acyl-CoA + Acetate <=> Fatty acid anion + Acetyl-CoA
R00394	carboxylic acid:CoA ligase (GDP-forming); GTP + Carboxylate + CoA <=> GDP + Orthophosphate + Acyl-CoA
R00395	acyl-CoA:glycine N-acyltransferase; Acyl-CoA + Glycine <=> CoA + N-Acylglycine
R00396	L-alanine:NAD+ oxidoreductase (deaminating); L-Alanine + NAD+ + H2O <=> Pyruvate + Ammonia + NADH + H+
R00397	L-aspartate 4-carboxy-lyase (L-alanine-forming); L-Aspartate <=> L-Alanine + CO2
R00398	2,2'-iminodipropanoate:NAD+ oxidoreductase (L-alanine-forming); Alanopine + NAD+ + H2O <=> L-Alanine + Pyruvate + NADH + H+
R00399	2-amino-4-ketopentanoate thiolase; acetyl-CoA:D-alanine C-acyltransferase; D-Alanine + Acetyl-CoA <=> 2-Amino-4-oxopentanoic acid + CoA
R00400	L-alanine:oxaloacetate aminotransferase; L-Alanine + Oxaloacetate <=> Pyruvate + L-Aspartate
R00401	alanine racemase; L-Alanine <=> D-Alanine
R00402	succinate:NAD+ oxidoreductase; Succinate + NAD+ <=> Fumarate + NADH + H+
R00405	succinate:CoA ligase (ADP-forming); ATP + Succinate + CoA <=> ADP + Orthophosphate + Succinyl-CoA
R00406	succinyl-CoA:(S)-malate CoA-transferase; Succinyl-CoA + (S)-Malate <=> Succinate + L-Malyl-CoA
R00407	succinyl-CoA hydrolase; Succinyl-CoA + H2O <=> CoA + Succinate
R00408	succinate:FAD oxidoreductase; Succinate + FAD <=> FADH2 + Fumarate
R00409	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming); (2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate <=> Pyruvate + Succinate
R00410	succinyl-CoA:acetoacetate CoA-transferase; Succinyl-CoA + Acetoacetate <=> Succinate + Acetoacetyl-CoA
R00411	N-succinyl-L-glutamate amidohydrolase; N-Succinyl-L-glutamate + H2O <=> L-Glutamate + Succinate
R00412	succinate:acceptor oxidoreductase; Succinate + Acceptor <=> Fumarate + Reduced acceptor
R00414	UDP-N-acetyl-D-glucosamine 2-epimerase; UDP-N-acetyl-alpha-D-glucosamine + H2O <=> N-Acetyl-D-mannosamine + UDP
R00416	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase; UTP + N-Acetyl-alpha-D-glucosamine 1-phosphate <=> Diphosphate + UDP-N-acetyl-alpha-D-glucosamine
R00417	UDP-N-acetyl-D-glucosamine:protein beta-N-acetyl-D-glucosaminyltransferase; UDP-N-acetyl-alpha-D-glucosamine + Protein asparagine <=> UDP + 4-N-(N-Acetyl-D-glucosaminyl)-protein
R00418	UDP-N-acetyl-D-glucosamine 4-epimerase; UDP-N-acetyl-alpha-D-glucosamine <=> UDP-N-acetyl-D-galactosamine
R00420	UDP-N-acetyl-D-glucosamine 2-epimerase; UDP-N-acetyl-alpha-D-glucosamine <=> UDP-N-acetyl-D-mannosamine
R00421	UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase; UDP-N-acetyl-alpha-D-glucosamine + 2 NAD+ + H2O <=> UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate + 2 NADH + 2 H+
R00422	UDP-N-acetyl-alpha-D-glucosamine <=> Glycolipid
R00423	UDP-N-acetyl-alpha-D-glucosamine <=> Mucopolysaccharide
R00424	GTP 7,8-8,9-dihydrolase; GTP + H2O <=> 7,8-Dihydroneopterin 3'-triphosphate + Formate
R00425	GTP 7,8-8,9-dihydrolase (diphosphate-forming); GTP + 4 H2O <=> Formate + 2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + 2 Orthophosphate
R00426	GTP diphosphohydrolase (diphosphate-forming); guanosine 5'-triphosphate pyrophosphohydrolase; GTP + H2O <=> GMP + Diphosphate
R00428	GTP 8,9-hydrolase; GTP + H2O <=> Formamidopyrimidine nucleoside triphosphate
R00429	ATP:GTP 3'-diphosphotransferase; ATP + GTP <=> AMP + Guanosine 3'-diphosphate 5'-triphosphate
R00430	GTP:pyruvate 2-O-phosphotransferase; GTP + Pyruvate <=> GDP + Phosphoenolpyruvate
R00431	GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming); GTP:oxaloacetate carboxy-lyase (transphosphorylating); GTP + Oxaloacetate <=> GDP + Phosphoenolpyruvate + CO2
R00432	succinate:CoA ligase (GDP-forming); GTP + Succinate + CoA <=> GDP + Orthophosphate + Succinyl-CoA
R00434	GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming); GTP <=> 3',5'-Cyclic GMP + Diphosphate
R00435	ATP:polynucleotide adenylyltransferase; ATP:RNA adenylyltransferase; ATP + RNA <=> Diphosphate + RNA
R00436	polyribonucleotide ligase (cyclizing, AMP-forming); ATP + RNA <=> AMP + Diphosphate + RNA(circular)
R00437	polyribonucleotide:phosphate adenylyltransferase; RNA + Orthophosphate <=> RNA + ADP
R00438	polyribonucleotide:phosphate uridylyltransferase; RNA + Orthophosphate <=> RNA + UDP
R00439	polyribonucleotide:phosphate guanylyltransferase; RNA + Orthophosphate <=> RNA + GDP
R00440	polyribonucleotide:phosphate cytidylyltransferase; RNA + Orthophosphate <=> RNA + CDP
R00441	GTP:RNA guanylyltransferase (DNA-directed); GTP:RNA guanylyltransferase (RNA-directed); GTP + RNA <=> Diphosphate + RNA
R00442	CTP:RNA cytidylyltransferase (DNA-directed); CTP:RNA cytidylyltransferase (RNA-directed); CTP + RNA <=> Diphosphate + RNA
R00443	UTP:RNA uridylyltransferase; UTP + RNA <=> Diphosphate + RNA
R00444	nucleoside-triphosphate:RNA nucleotidyltransferase (DNA-directed); nucleoside-triphosphate:RNA nucleotidyltransferase (RNA-directed); Nucleoside triphosphate + RNA <=> Diphosphate + RNA
R00445	L-lysine:NAD+ oxidoreductase (deaminating, cyclizing); L-Lysine + NAD+ <=> Delta1-Piperideine-2-carboxylate + Ammonia + NADH + H+
R00446	L-lysine:NAD+ 6-oxidoreductase (deaminating); L-Lysine + NAD+ + H2O <=> L-2-Aminoadipate 6-semialdehyde + NADH + Ammonia + H+
R00447	L-lysine:oxygen 2-oxidoreductase (deaminating); L-Lysine + Oxygen + H2O <=> 6-Amino-2-oxohexanoate + Ammonia + Hydrogen peroxide
R00448	L-lysine,NADPH:oxygen oxidoreductase (6-hydroxylating); L-Lysine + Oxygen + NADPH + H+ <=> N6-Hydroxy-L-lysine + NADP+ + H2O
R00449	L-lysine:oxygen 2-oxidoreductase (decarboxylating); L-Lysine + Oxygen <=> 5-Aminopentanamide + CO2 + H2O
R00451	meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming); meso-2,6-Diaminoheptanedioate <=> L-Lysine + CO2
R00452	N2-(D-1-carboxylethyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming); D-Lysopine + NADP+ + H2O <=> L-Lysine + Pyruvate + NADPH + H+
R00453	L-lysine:pyruvate aminotransferase; L-Lysine + Pyruvate <=> L-2-Aminoadipate 6-semialdehyde + L-Alanine
R00454	acetyl-CoA:L-lysine N6-acetyltransferase; L-Lysine + Acetyl-CoA <=> N6-Acetyl-L-lysine + CoA
R00457	L-lysine:2-oxoglutarate 6-aminotransferase; L-Lysine + 2-Oxoglutarate <=> L-2-Aminoadipate 6-semialdehyde + L-Glutamate
R00458	N6-acetyl-L-lysine amidohydrolase; N6-Acetyl-L-lysine + H2O <=> Acetate + L-Lysine
R00459	L-Lysine <=> L-Pipecolate
R00460	lysine racemase; L-Lysine <=> D-Lysine
R00461	L-lysine 2,3-aminomutase; L-Lysine <=> (3S)-3,6-Diaminohexanoate
R00462	L-lysine carboxy-lyase (cadaverine-forming); L-Lysine <=> Cadaverine + CO2
R00463	L-lysine-1,6-lactam lactamhydrolase; L-Lysine 1,6-lactam + H2O <=> L-Lysine
R00465	glycolate:NADP+ oxidoreductase; Glycolate + NADP+ <=> Glyoxylate + NADPH + H+
R00466	glyoxylate:oxygen oxidoreductase; Glyoxylate + Oxygen + H2O <=> Oxalate + Hydrogen peroxide
R00468	glyoxylate:NADP+ oxidoreductase (CoA-oxalylating); Glyoxylate + CoA + NADP+ <=> Oxalyl-CoA + NADPH + H+
R00469	(S)-ureidoglycolate amidohydrolase (decarboxylating); (S)-Ureidoglycolate + H2O <=> Glyoxylate + 2 Ammonia + CO2
R00470	4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming); 4-Hydroxy-2-oxoglutarate <=> Pyruvate + Glyoxylate
R00471	4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming); (4R)-4-Hydroxy-2-oxoglutarate <=> Pyruvate + Glyoxylate
R00472	acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); L-malate glyoxylate-lyase (CoA-acetylating); (S)-Malate + CoA <=> Acetyl-CoA + H2O + Glyoxylate
R00473	L-malyl-CoA glyoxylate-lyase (acetyl-CoA-forming); L-Malyl-CoA <=> Acetyl-CoA + Glyoxylate
R00474	2-oxoglutarate:glyoxylate succinaldehydetransferase (decarboxylating); 2-hydroxy-3-oxoadipate glyoxylate-lyase (carboxylating); 2-Hydroxy-3-oxoadipate + CO2 <=> 2-Oxoglutarate + Glyoxylate
R00475	glycolate:oxygen 2-oxidoreductase; Glycolate + Oxygen <=> Glyoxylate + Hydrogen peroxide
R00476	glycolate:acceptor 2-oxidoreductase; Glycolate + Acceptor <=> Glyoxylate + Reduced acceptor
R00477	3-oxalomalate glyoxylate-lyase (oxaloacetate-forming); 3-Oxalomalate <=> Oxaloacetate + Glyoxylate
R00478	erythro-3-hydroxy-Ls-aspartate glyoxylate-lyase (glycine-forming); erythro-3-Hydroxy-Ls-aspartate <=> Glycine + Glyoxylate
R00479	isocitrate glyoxylate-lyase (succinate-forming); Isocitrate <=> Succinate + Glyoxylate
R00480	ATP:L-aspartate 4-phosphotransferase; ATP + L-Aspartate <=> ADP + 4-Phospho-L-aspartate
R00481	L-aspartate:oxygen oxidoreductase; L-Aspartate + Oxygen <=> Iminoaspartate + Hydrogen peroxide
R00482	L-aspartate:ammonia ligase (ADP-forming); ATP + L-Aspartate + Ammonia <=> ADP + Orthophosphate + L-Asparagine
R00483	L-aspartate:ammonia ligase (AMP-forming); ATP + L-Aspartate + Ammonia <=> AMP + Diphosphate + L-Asparagine
R00484	N-carbamoyl-L-aspartate amidohydrolase; N-Carbamoyl-L-aspartate + H2O <=> L-Aspartate + CO2 + Ammonia
R00485	L-asparagine amidohydrolase; L-Asparagine + H2O <=> L-Aspartate + Ammonia
R00486	3-cyano-L-alanine aminohydrolase; 3-Cyano-L-alanine + 2 H2O <=> L-Aspartate + Ammonia
R00487	acetyl-CoA:L-aspartate N-acetyltransferase; Acetyl-CoA + L-Aspartate <=> CoA + N-Acetyl-L-aspartate
R00488	N-acetyl-L-aspartate amidohydrolase; N-Acetyl-L-aspartate + H2O <=> Acetate + L-Aspartate
R00489	L-aspartate 1-carboxy-lyase (beta-alanine-forming); L-Aspartate <=> beta-Alanine + CO2
R00490	L-aspartate ammonia-lyase (fumarate-forming); L-Aspartate <=> Fumarate + Ammonia
